z,m_b_mean,m_b_sigma,dm_b_dz_mean,dm_b_dz_sigma
0.00299,11.293856880956884,0.11856428803565422,700.8372653504176,13.595479356085695
0.02821232323232323,16.193855489920864,0.1159993902743673,52.36814604795676,13.201929162513174
0.05343464646464646,17.607489170352764,0.11346424957877455,16.831378935438966,12.795190990432046
0.0786569696969697,18.474275058447294,0.11097658229769133,4.579972977442039,12.376204844989436
0.10387929292929293,19.105891672748967,0.10855509660454941,-1.359929710482009,11.946094556894815
0.12910161616161614,19.6059419234526,0.10621898933646756,-4.698893683196345,11.506164131918743
0.15432393939393937,20.021796135418214,0.10398731934265493,-6.722608291046186,11.057889745132691
0.1795462626262626,20.379092368180647,0.10187827756677482,-7.994899635748931,10.602907571548773
0.20476858585858584,20.693264375434527,0.09990839192440924,-8.802102993767006,10.142997761435183
0.22999090909090908,20.9743131783739,0.09809172285904781,-9.305018886844366,9.680064919715624
0.2552132323232323,21.229079607387092,0.09643911945929715,-9.600755541574747,9.216115495633078
0.28043555555555555,21.462440876769843,0.09495761196415449,-9.751201078034752,8.753232611548915
0.30565787878787876,21.677990262869795,0.09365001098996209,-9.797410090358555,8.29354910360578
0.330880202020202,21.878446871774432,0.09251476576571047,-9.767428296422716,7.839219879326312
0.3561025252525252,22.065914858396376,0.09154610513452423,-9.680814362378898,7.3923950073604745
0.3813248484848485,22.242054038575592,0.09073445117497476,-9.551391631096132,6.955195099881078
0.4065471717171717,22.408195959736744,0.09006706280021133,-9.388999848545051,6.529690418170075
0.4317694949494949,22.565425094705496,0.08952884200398119,-9.200655349263931,6.117884692852571
0.45699181818181817,22.71463698818296,0.08910322266826769,-8.99134639895427,5.7217039467854685
0.4822141414141414,22.85658073122969,0.08877306194353889,-8.76459453374006,5.3429897295572255
0.5074364646464646,22.99189050944452,0.08852146511071718,-8.522860126266613,4.983495204706076
0.532658787878788,23.121109365798148,0.08833249264069498,-8.267840556081278,4.644881531384147
0.5578811111111112,23.244707310564337,0.08819171853782165,-8.00069192815769,4.328710991222215
0.5831034343434344,23.363095259858493,0.08808662831953652,-7.722194832634054,4.0364324113828935
0.6083257575757576,23.47663585373302,0.0880068607460921,-7.432878210812147,3.769353852640706
0.6335480808080808,23.585651913394514,0.08794430861457832,-7.13311132925423,3.528597744421909
0.6587704040404041,23.690433095633317,0.08789310058374934,-6.823171215600886,3.31503541602945
0.6839927272727273,23.791241160397846,0.08784948878251109,-6.50329112267672,3.1292021346706207
0.7092150505050505,23.88831416523861,0.08781166684857653,-6.173694334181776,2.971200642154066
0.7344373737373737,23.9818698255756,0.08777954103495128,-5.834616710293416,2.8406096565125885
0.759659696969697,24.072108224197514,0.08775447395997564,-5.486320677223929,2.736420619556925
0.7848820202020202,24.159214011579866,0.08773901710729178,-5.129102820056696,2.657026485794897
0.8101043434343435,24.243358206773006,0.08773664474566298,-4.763296799728938,2.6002773287720755
0.8353266666666667,24.32469968416204,0.08775149880048,-4.389272956205316,2.5636005423821198
0.8605489898989899,24.403386412500378,0.08778815150094955,-4.007435663892479,2.5441653758505556
0.8857713131313132,24.479556497943708,0.08785139038811039,-3.6182192610719714,2.539060819531052
0.9109936363636364,24.55333907138721,0.08794602847857469,-3.2220831746558973,2.5454565985564046
0.9362159595959596,24.62485505150023,0.0880767409838892,-2.819506698709124,2.5607269234052006
0.9614382828282828,24.694217807911524,0.08824792891830237,-2.410983754684246,2.582529613012592
0.9866606060606061,24.76153374359058,0.08846360912014209,-1.997017858473579,2.608843804796098
1.0118829292929292,24.826902811264837,0.08872732960267507,-1.5781174398839204,2.63797531890129
1.0371052525252524,24.890418975449762,0.0890421086896475,-1.154791600029124,2.668540243211549
1.0623275757575759,24.952170629139783,0.08941039604223094,-0.7275463478412195,2.6994360892220404
1.087549898989899,25.012240972255302,0.08983405342399389,-0.2968813252579415,2.729807550360405
1.1127722222222223,25.07070835743286,0.09031435286534384,0.13671299108197293,2.7590115270489735
1.1379945454545455,25.12764660758621,0.0908519897726344,0.5727576379266143,2.786584154263516
1.1632168686868687,25.183125308772492,0.09144710847786221,1.010787097999399,2.812211192975674
1.188439191919192,25.237210081213334,0.0920993377417409,1.450350856076311,2.835702261249615
1.213661515151515,25.289962830791406,0.09280783380379955,1.8910146188710457,2.856968861439711
1.2388838383838383,25.341441982939287,0.09357132871316116,2.3323612383781627,2.8760058884662736
1.2641061616161615,25.39170270052321,0.09438818186478681,2.7739913763654456,2.8928761877446614
1.289328484848485,25.440797087081577,0.0952564328972994,3.2155239449815154,2.9076977051109347
1.3145508080808082,25.48877437659025,0.09617385436718796,3.656596355330448,2.9206327929779445
1.3397731313131314,25.53568111077716,0.09713800288662273,4.09686460262386,2.9318792813604118
1.3649954545454546,25.58156130489095,0.09814626768516452,4.5360032133286525,2.9416629746476817
1.3902177777777778,25.626456602734756,0.09919591581773689,4.973705076697107,2.950231287265221
1.415440101010101,25.67040642169747,0.10028413348302545,5.409681180259144,2.9578477799460443
1.4406624242424242,25.713448088452388,0.10140806313125883,5.843660266307426,2.9647874018603066
1.4658847474747474,25.755616965937477,0.10256483622411766,6.275388424122127,2.971332282190018
1.4911070707070706,25.796946572187043,0.10375160166072384,6.704628630659486,2.9777679483260617
1.516329393939394,25.83746869154176,0.10496555000278926,7.131160250650221,2.984379877333525
1.5415517171717172,25.87721347873068,0.10620393372109431,7.554778505501991,2.9914503132753327
1.5667740404040404,25.916209556283434,0.1074640837476553,7.975293919050714,2.999255305851897
1.5919963636363637,25.954484105704424,0.1087434226569529,8.39253174703683,3.0080619458580187
1.6172186868686869,25.99206295281062,0.11003947481938138,8.806331396171927,3.018125790226296
1.64244101010101,26.02897064761172,0.1113498738745391,9.216545837789132,3.0296884837959603
1.6676633333333333,26.06523053908632,0.11267236786468628,9.623041020316458,3.042975596177111
1.6928856565656565,26.100864845186678,0.11400482235288487,10.025695284162824,3.0581946998932232
1.7181079797979797,26.135894718382826,0.11534522182868874,10.424398782043516,3.075533720147004
1.7433303030303031,26.170340307038277,0.11669166967904772,10.819052907285853,3.0951595869676773
1.7685526262626263,26.204220812891034,0.11804238697509768,11.209569732233799,3.1172172172678505
1.7937749494949495,26.237554544894856,0.11939571029809522,11.595871458505089,3.1418288478218774
1.8189972727272727,26.270358969661665,0.120750088800938,11.977889880535326,3.1690937309859506
1.844219595959596,26.30265075872839,0.12210408067617955,12.355565863567692,3.199088193945788
1.8694419191919192,26.334445832858254,0.12345634917767807,12.728848837004938,3.231866050378836
1.8946642424242424,26.365759403572426,0.12480565832125355,13.097696303830435,3.267459341680986
1.9198865656565656,26.39660601209519,0.12615086837011133,13.46207336662134,3.3058793742969352
1.9451088888888888,26.426999565883044,0.1274909311933119,13.821952270516993,3.3471180110095498
1.9703312121212122,26.456953372898234,0.12882488557017197,14.17731196336655,3.3911491678500947
1.9955535353535354,26.48648017377508,0.13015185250005804,14.52813767315842,3.4379304648735145
2.0207758585858584,26.515592172017644,0.13147103056541334,14.87442050272955,3.4874049784075223
2.045998181818182,26.544301062359782,0.13278169138591206,15.216157041660852,3.539503044294698
2.071220505050505,26.572618057406604,0.134083175193148,15.553348995188147,3.5941440656810997
2.0964428282828282,26.600553912671458,0.13537488654812646,15.886002829890629,3.65123828452894
2.1216651515151517,26.62811895011278,0.13665629021781403,16.214129435861736,3.7106884826704065
2.1468874747474747,26.655323080268857,0.13792690722203096,16.537743805020614,3.772391585322021
2.172109797979798,26.68217582308215,0.1391863110578465,16.856864725181808,3.8362401470613374
2.197332121212121,26.70868632749712,0.14043412410528158,17.17151448946931,3.9021237069444767
2.2225544444444445,26.73486338991228,0.14167001421540332,17.481718620633725,3.9699300054376656
2.2477767676767675,26.76071547155924,0.14289369147971512,17.787505609812676,4.039546060978943
2.272999090909091,26.786250714878097,0.14410490517803637,18.088906669257874,4.110859108201409
2.298221414141414,26.81147695895325,0.14530344090072292,18.385955498542327,4.183757403137272
2.3234437373737373,26.836401754069193,0.1464891178400829,18.678688063754084,4.258130903138438
2.3486660606060608,26.861032375442488,0.1476617862450851,18.967142389179916,4.333871830887291
2.3738883838383837,26.88537583618168,0.14882132503294562,19.251358360981413,4.410875132843727
2.399110707070707,26.9094388995235,0.1499676395508222,19.5313775423694,4.489038842900429
2.42433303030303,26.933228090390816,0.15110065948066123,19.807242999786236,4.568264362014773
2.4495553535353536,26.95674970631434,0.15222033688014894,20.078999139613273,4.64845666425904
2.4747776767676766,26.98000982775771,0.1533266443527433,20.34669155492802,4.729524439174369
2.5,27.003014327882184,0.15441957333984532,20.610366881846407,4.811380179606964
