z,mu_mean,mu_sigma,dl_mpc_mean,dl_mpc_sigma
0.0,,,0.0,0.0
0.01,33.06730180440506,0.03845137559232511,41.07026484180822,0.7257836358116393
0.02,34.62004981116737,0.022776068527382277,83.9524804757548,0.8794309077929641
0.03,35.49056648091904,0.019898505339979108,125.3520136708781,1.1499061764357728
0.04,36.13081861260336,0.027466634890667925,168.34417453751536,2.135208858499296
0.05,36.63832945475767,0.026170872355097876,212.66548926220162,2.56083732845563
0.060000000000000005,37.06009161049968,0.026082407453505197,258.2552829731357,3.095419406262763
0.06999999999999999,37.420205623992985,0.03075135334444029,304.8485052024567,4.308525536175237
0.08,37.7330048273644,0.0339172077423364,352.0896434849537,5.495164323495494
0.09,38.007771359341085,0.03664450831266713,399.59052990404797,6.718934672155223
0.09999999999999999,38.251032055790134,0.036443160993593925,446.95801418403954,7.487168812940398
0.11,38.46823945060021,0.033581368528443706,493.96838827797967,7.635906767594548
0.12,38.66452065103681,0.02950119795029239,540.6842494849956,7.348534440470719
0.13,38.84443318138212,0.025225437253979296,587.3751966913024,6.83407572768258
0.14,39.01159560300833,0.02250618368274029,634.3693155496107,6.580412970527887
0.15000000000000002,39.16862099097979,0.022268495040844914,681.9409284418247,6.996949236000814
0.16,39.31732431924914,0.023126743363872916,730.2796693794184,7.789341926470646
0.17,39.45898408646256,0.023746220296310943,779.5114283839089,8.537761613663333
0.18000000000000002,39.5945096337808,0.023981323064851963,829.7133929521933,9.174048334069004
0.19,39.724537012657066,0.02410548759357464,880.914681111975,9.790624839616173
0.2,39.84949994528237,0.0242033221143393,933.0966982870347,10.414532528143102
0.21000000000000002,39.96969056241663,0.024145659364106956,986.1992078620545,10.981031672015634
0.22,40.085311874885136,0.02379452561929404,1040.131244205986,11.410796759506772
0.23,40.19652080566029,0.023116310168263203,1094.7840820609258,11.66354499424148
0.24000000000000002,40.30345950975481,0.022164545095098097,1150.0434406528152,11.740782357759958
0.25,40.406274273977246,0.021021667319140847,1205.7990647818272,11.665970156124502
0.26,40.505123915108875,0.019760767126376637,1261.9510906787505,11.467147048270208
0.27,40.60018104728085,0.018437768222216457,1318.4135164832533,11.170496750802274
0.28,40.69162947029993,0.01710143985705887,1375.1154831841816,10.803157359561363
0.29000000000000004,40.77966001884238,0.015807190265347448,1432.0010926051355,10.40040098640325
0.3,40.86446624727859,0.014626327255275167,1489.0283520961711,10.012648418580802
0.31,40.94624061983711,0.013646750506188812,1546.1676704812812,9.708504363699815
0.32,41.02517145213896,0.012962152304772859,1603.4001890122022,9.569849264317652
0.33,41.10144062814413,0.012648854260489496,1660.7161253464426,9.676019797293803
0.34,41.1752220148691,0.012738238494525893,1718.1132335041632,10.080664717571329
0.35000000000000003,41.24668046004474,0.01320317566900576,1775.5954311736218,10.794778007760746
0.36000000000000004,41.31597125274189,0.013970182173750043,1833.171611486228,11.788261449817734
0.37,41.383239936579955,0.014946841186880186,1890.8546348540422,13.006549408677346
0.38,41.44862238061393,0.016045330943988235,1948.660484194645,14.388712138146845
0.39,41.512245029954435,0.017193850975286966,2006.6075611765405,15.878687416390772
0.4,41.57422527444794,0.0183386582033789,2064.716099869075,17.429601970337863
0.41000000000000003,41.63467188829755,0.019441756778857008,2123.0076756866315,19.004137899297323
0.42000000000000004,41.69368550591455,0.020477469043383736,2181.50479048924,20.573315155528558
0.43,41.751359109460466,0.021429254913387874,2240.230518216734,22.114901925935598
0.44,41.80777851157634,0.022287165572213757,2299.2081988882264,23.61193345427185
0.45,41.863022822920776,0.02304593555174966,2358.4611718504493,25.051485915639528
0.46,41.917164898627334,0.023703606631591333,2418.012541659662,26.423724513746468
0.47000000000000003,41.97027176094302,0.02426056443022278,2477.8849719137224,27.72120271553219
0.48000000000000004,42.02240499740542,0.02471888429270485,2538.100503768277,28.938377771750556
0.49,42.07362113521156,0.025081903411252163,2598.6803968616637,30.071305809508534
0.5,42.12397199314542,0.025353954465111333,2659.6449910300826,31.11748116525873
0.51,42.173505012735625,0.02554021127270719,2721.013587601707,32.07578739887556
0.52,42.22226357035477,0.025646609214968873,2782.80434928494,32.94653103075927
0.53,42.27028727184495,0.02567981288824869,2845.034217766007,33.73153307644968
0.54,42.31761223104427,0.025647210878177302,2907.718848145395,34.43425744056117
0.55,42.364271333345,0.02555692294835992,2970.8725593028475,35.059958658366696
